sys.exec.out.time {s},position[0] {m},position[1] {m},velocity[0] {m/s},velocity[1] {m/s},acceleration[0] {m/s2},acceleration[1] {m/s2},force[0] {N},force[1] {N}
0, 5, 5, 2.47487, 2.47487, -0.685994, -0.411597, -6.85994, -4.11597
0.1, 5.24441, 5.24562, 2.40654, 2.43328, -0.680815, -0.420107, -6.80815, -4.20107
0.2, 5.48201, 5.48705, 2.33875, 2.3908, -0.675519, -0.428573, -6.75519, -4.28573
0.3, 5.71285, 5.72419, 2.27147, 2.34752, -0.670641, -0.436167, -6.70641, -4.36167
0.4, 5.93699, 5.95696, 2.20466, 2.30352, -0.666127, -0.44303, -6.66127, -4.4303
0.5, 6.15446, 6.18531, 2.13828, 2.25887, -0.661931, -0.449274, -6.61931, -4.49274
0.6, 6.36532, 6.40917, 2.0723, 2.21362, -0.658015, -0.454991, -6.58015, -4.54991
0.7, 6.56959, 6.62847, 2.0067, 2.16783, -0.654345, -0.460252, -6.54345, -4.60252
0.8, 6.76732, 6.84317, 1.94146, 2.12153, -0.650894, -0.46512, -6.50894, -4.6512
0.9, 6.95855, 7.05323, 1.87655, 2.07477, -0.647638, -0.469644, -6.47638, -4.69644
1, 7.14329, 7.25858, 1.81196, 2.02757, -0.644555, -0.473866, -6.44555, -4.73866
1.1, 7.32159, 7.4592, 1.74767, 1.97996, -0.641628, -0.477822, -6.41628, -4.77822
1.2, 7.49348, 7.65504, 1.68366, 1.93197, -0.63884, -0.481543, -6.3884, -4.81543
1.3, 7.65897, 7.84607, 1.61992, 1.88363, -0.636178, -0.485054, -6.36178, -4.85054
1.4, 7.81811, 8.03224, 1.55644, 1.83494, -0.63363, -0.488377, -6.3363, -4.88377
1.5, 7.9709, 8.21353, 1.49322, 1.78592, -0.631186, -0.491533, -6.31186, -4.91533
1.6, 8.11739, 8.38991, 1.43023, 1.7366, -0.628835, -0.494537, -6.28835, -4.94537
1.7, 8.25758, 8.56134, 1.36747, 1.68699, -0.626569, -0.497405, -6.26569, -4.97405
1.8, 8.39152, 8.72779, 1.30493, 1.6371, -0.624381, -0.500149, -6.24381, -5.00149
1.9, 8.5192, 8.88925, 1.24261, 1.58694, -0.622263, -0.502781, -6.22263, -5.02781
2, 8.64067, 9.04567, 1.1805, 1.53652, -0.62021, -0.505312, -6.2021, -5.05312
2.1, 8.75593, 9.19705, 1.11859, 1.48585, -0.618215, -0.50775, -6.18215, -5.0775
2.2, 8.86501, 9.34334, 1.05687, 1.43495, -0.616275, -0.510103, -6.16275, -5.10103
2.3, 8.96793, 9.48454, 0.995351, 1.38381, -0.614384, -0.512379, -6.14384, -5.12379
2.4, 9.0647, 9.62061, 0.934015, 1.33245, -0.612538, -0.514585, -6.12538, -5.14585
2.5, 9.15535, 9.75154, 0.872861, 1.28088, -0.610733, -0.516726, -6.10733, -5.16726
2.6, 9.23989, 9.8773, 0.811885, 1.22909, -0.608965, -0.518808, -6.08965, -5.18808
2.7, 9.31834, 9.99787, 0.751084, 1.1771, -0.607232, -0.520836, -6.07232, -5.20836
2.8, 9.39072, 10.1132, 0.690455, 1.1249, -0.605529, -0.522814, -6.05529, -5.22814
2.9, 9.45704, 10.2234, 0.629994, 1.07251, -0.603855, -0.524747, -6.03855, -5.24747
3, 9.51733, 10.3283, 0.569699, 1.01994, -0.602206, -0.526638, -6.02206, -5.26638
3.1, 9.57159, 10.4279, 0.509568, 0.96717, -0.600581, -0.528491, -6.00581, -5.28491
3.2, 9.61985, 10.5222, 0.449599, 0.914221, -0.598975, -0.53031, -5.98975, -5.3031
3.3, 9.66211, 10.6112, 0.389789, 0.861091, -0.597388, -0.532097, -5.97388, -5.32097
3.4, 9.69841, 10.695, 0.330136, 0.807784, -0.595817, -0.533856, -5.95817, -5.33856
3.5, 9.72874, 10.7733, 0.27064, 0.754303, -0.59426, -0.535589, -5.9426, -5.35589
3.6, 9.75313, 10.8463, 0.2113, 0.70065, -0.592715, -0.537298, -5.92715, -5.37298
3.7, 9.7716, 10.914, 0.152113, 0.646827, -0.59118, -0.538987, -5.9118, -5.38987
3.8, 9.78415, 10.9762, 0.0930786, 0.592837, -0.589652, -0.540657, -5.89652, -5.40657
3.9, 9.79081, 11.0331, 0.0341971, 0.53868, -0.588132, -0.542311, -5.88132, -5.42311
4, 9.79159, 11.0845, -0.0245327, 0.484358, -0.586615, -0.543951, -5.86615, -5.43951
4.1, 9.7865, 11.1305, -0.0831109, 0.429874, -0.585102, -0.545579, -5.85102, -5.45579
4.2, 9.77555, 11.171, -0.141538, 0.375227, -0.583589, -0.547196, -5.83589, -5.47196
4.3, 9.75878, 11.2061, -0.199814, 0.320419, -0.582075, -0.548806, -5.82075, -5.48806
4.4, 9.73618, 11.2357, -0.257938, 0.26545, -0.580559, -0.55041, -5.80559, -5.5041
4.5, 9.70777, 11.2597, -0.31591, 0.210321, -0.579039, -0.552009, -5.79039, -5.52009
4.6, 9.67358, 11.2783, -0.37373, 0.155032, -0.577512, -0.553606, -5.77512, -5.53606
4.7, 9.63361, 11.2913, -0.431397, 0.0995837, -0.575978, -0.555202, -5.75978, -5.55202
4.8, 9.58788, 11.2987, -0.48891, 0.0439756, -0.574434, -0.5568, -5.74434, -5.568
4.9, 9.53641, 11.3006, -0.546268, -0.0117924, -0.572878, -0.558401, -5.72878, -5.58401
5, 9.47921, 11.2969, -0.603469, -0.0677207, -0.571308, -0.560006, -5.71308, -5.60006
5.1, 9.41629, 11.2876, -0.660513, -0.12381, -0.569723, -0.561619, -5.69723, -5.61619
5.2, 9.34768, 11.2727, -0.717397, -0.180061, -0.568119, -0.563241, -5.68119, -5.63241
5.3, 9.27338, 11.2522, -0.77412, -0.236475, -0.566496, -0.564874, -5.66496, -5.64874
5.4, 9.19343, 11.226, -0.830679, -0.293053, -0.56485, -0.566519, -5.6485, -5.66519
5.5, 9.10782, 11.1941, -0.887073, -0.349796, -0.56318, -0.56818, -5.6318, -5.6818
5.6, 9.01658, 11.1566, -0.943298, -0.406706, -0.561482, -0.569858, -5.61482, -5.69858
5.7, 8.91973, 11.1134, -0.999351, -0.463785, -0.559754, -0.571555, -5.59754, -5.71555
5.8, 8.81728, 11.0644, -1.05523, -0.521035, -0.557992, -0.573275, -5.57992, -5.73275
5.9, 8.70924, 11.0097, -1.11093, -0.578458, -0.556195, -0.575019, -5.56195, -5.75019
6, 8.59565, 10.9493, -1.16645, -0.636057, -0.554357, -0.576791, -5.54357, -5.76791
6.1, 8.47652, 10.8831, -1.22178, -0.693835, -0.552476, -0.578593, -5.52476, -5.78593
6.2, 8.35185, 10.8111, -1.27692, -0.751795, -0.550548, -0.580428, -5.50548, -5.80428
6.3, 8.22169, 10.7333, -1.33187, -0.80994, -0.548568, -0.5823, -5.48568, -5.823
6.4, 8.08604, 10.6497, -1.38662, -0.868275, -0.546531, -0.584212, -5.46531, -5.84212
6.5, 7.94492, 10.5602, -1.44115, -0.926804, -0.544433, -0.586168, -5.44433, -5.86168
6.6, 7.79836, 10.4649, -1.49548, -0.98553, -0.542267, -0.588172, -5.42267, -5.88172
6.7, 7.64637, 10.3637, -1.54958, -1.04446, -0.540027, -0.590229, -5.40027, -5.90229
6.8, 7.48899, 10.2566, -1.60346, -1.1036, -0.537707, -0.592344, -5.37707, -5.92344
6.9, 7.32623, 10.1436, -1.6571, -1.16295, -0.535298, -0.594522, -5.35298, -5.94522
7, 7.15811, 10.0246, -1.71049, -1.22253, -0.532792, -0.596769, -5.32792, -5.96769
7.1, 6.98467, 9.89964, -1.76363, -1.28233, -0.530179, -0.599091, -5.30179, -5.99091
7.2, 6.80592, 9.7687, -1.8165, -1.34237, -0.527448, -0.601497, -5.27448, -6.01497
7.3, 6.62191, 9.63176, -1.86908, -1.40266, -0.524587, -0.603994, -5.24587, -6.03994
7.4, 6.43264, 9.48877, -1.92138, -1.4632, -0.521582, -0.606591, -5.21582, -6.06591
7.5, 6.23816, 9.33971, -1.97336, -1.52401, -0.518416, -0.609299, -5.18416, -6.09299
7.6, 6.0385, 9.18457, -2.02502, -1.58509, -0.515072, -0.612128, -5.15072, -6.12128
7.7, 5.83368, 9.0233, -2.07634, -1.64647, -0.511527, -0.615093, -5.11527, -6.15093
7.8, 5.62375, 8.85588, -2.12728, -1.70815, -0.507758, -0.618208, -5.07758, -6.18208
7.9, 5.40875, 8.68228, -2.17784, -1.77015, -0.503736, -0.62149, -5.03736, -6.2149
8, 5.1887, 8.50246, -2.22798, -1.83248, -0.499426, -0.624959, -4.99426, -6.24959
8.1, 4.96367, 8.31639, -2.27767, -1.89518, -0.494789, -0.628636, -4.94789, -6.28636
8.2, 4.73368, 8.12404, -2.32688, -1.95826, -0.489777, -0.632549, -4.89777, -6.32549
8.3, 4.4988, 7.92536, -2.37556, -2.02174, -0.484332, -0.636728, -4.84332, -6.36728
8.4, 4.25907, 7.72031, -2.42367, -2.08566, -0.478385, -0.641208, -4.78385, -6.41208
8.5, 4.01456, 7.50886, -2.47115, -2.15004, -0.47185, -0.646032, -4.7185, -6.46032
8.6, 3.76533, 7.29094, -2.51795, -2.21493, -0.464621, -0.65125, -4.64621, -6.5125
8.7, 3.51146, 7.0665, -2.56397, -2.28036, -0.456566, -0.656923, -4.56566, -6.56923
8.8, 3.25302, 6.8355, -2.60914, -2.34639, -0.447514, -0.663122, -4.47514, -6.63122
8.9, 2.99011, 6.59787, -2.65334, -2.41307, -0.437248, -0.669936, -4.37248, -6.69936
9, 2.72283, 6.35353, -2.69643, -2.48047, -0.425482, -0.67747, -4.25482, -6.7747
9.1, 2.45129, 6.10242, -2.73825, -2.54867, -0.411832, -0.685853, -4.11832, -6.85853
9.2, 2.17564, 5.84446, -2.77857, -2.61776, -0.395778, -0.695241, -3.95778, -6.95241
9.3, 1.89603, 5.57953, -2.81712, -2.68786, -0.37659, -0.705819, -3.7659, -7.05819
9.4, 1.61266, 5.30755, -2.85354, -2.75909, -0.353223, -0.717798, -3.53223, -7.17798
9.5, 1.32577, 5.02839, -2.88731, -2.8316, -0.324132, -0.731395, -3.24132, -7.31395
9.6, 1.03563, 4.74192, -2.91776, -2.90557, -0.286961, -0.746762, -2.86961, -7.46762
9.7, 0.742641, 4.44797, -2.94388, -2.98117, -0.237994, -0.763779, -2.37994, -7.63779
9.8, 0.447283, 4.14639, -2.96419, -3.05852, -0.171201, -0.781467, -1.71201, -7.81467
9.9, 0.150236, 3.83699, -2.97639, -3.13754, -0.0767172, -0.796313, -0.767172, -7.96313
10, -0.147544, 3.51964, -2.97694, -3.21744, 0.0605414, -0.797706, 0.605414, -7.97706
10.1, -0.444668, 3.19435, -2.96064, -3.29554, 0.256292, -0.757835, 2.56292, -7.57835
10.2, -0.739189, 2.86156, -2.92189, -3.36507, 0.497107, -0.626805, 4.97107, -6.26805
10.3, -1.02877, 2.52259, -2.86031, -3.41532, 0.699002, -0.389097, 6.99002, -3.89097
10.4, -1.31146, 2.17974, -2.78453, -3.43978, 0.789095, -0.131641, 7.89095, -1.31641
10.5, -1.58633, 1.83553, -2.70475, -3.44146, 0.797232, 0.0664959, 7.97232, 0.664959
10.6, -1.85325, 1.49193, -2.62616, -3.42697, 0.774383, 0.200826, 7.74383, 2.00826
10.7, -2.11243, 1.1503, -2.55033, -3.40164, 0.745107, 0.29123, 7.45107, 2.9123
10.8, -2.36415, 0.811555, -2.47737, -3.36888, 0.717364, 0.354103, 7.17364, 3.54103
10.9, -2.6087, 0.476342, -2.407, -3.33085, 0.69304, 0.39962, 6.9304, 3.9962
11, -2.84632, 0.145115, -2.33887, -3.28893, 0.672156, 0.433827, 6.72156, 4.33827
11.1, -3.07721, -0.181779, -2.27266, -3.24404, 0.654257, 0.460378, 6.54257, 4.60378
11.2, -3.30156, -0.504074, -2.20811, -3.1968, 0.63883, 0.481556, 6.3883, 4.81556
11.3, -3.51952, -0.821557, -2.14498, -3.14766, 0.625425, 0.498842, 6.25425, 4.98842
11.4, -3.73123, -1.13405, -2.08309, -3.09697, 0.613674, 0.513229, 6.13674, 5.13229
11.5, -3.93679, -1.44142, -2.02231, -3.04496, 0.603283, 0.525404, 6.03283, 5.25404
11.6, -4.13632, -1.74353, -1.9625, -2.99183, 0.594019, 0.535856, 5.94019, 5.35856
11.7, -4.32991, -2.04029, -1.90356, -2.93773, 0.585696, 0.544941, 5.85696, 5.44941
11.8, -4.51765, -2.3316, -1.84541, -2.88279, 0.578165, 0.552924, 5.78165, 5.52924
11.9, -4.6996, -2.61738, -1.78797, -2.8271, 0.571308, 0.560007, 5.71308, 5.60007
12, -4.87583, -2.89756, -1.73119, -2.77075, 0.565026, 0.566344, 5.65026, 5.66344
12.1, -5.04642, -3.17207, -1.67501, -2.7138, 0.559241, 0.572057, 5.59241, 5.72057
12.2, -5.21141, -3.44087, -1.61939, -2.6563, 0.553886, 0.577244, 5.53886, 5.77244
12.3, -5.37087, -3.70389, -1.56427, -2.59831, 0.548906, 0.581981, 5.48906, 5.81981
12.4, -5.52483, -3.9611, -1.50964, -2.53987, 0.544256, 0.586333, 5.44256, 5.86333
12.5, -5.67336, -4.21244, -1.45546, -2.48102, 0.539895, 0.59035, 5.39895, 5.9035
12.6, -5.81648, -4.45788, -1.4017, -2.42177, 0.535792, 0.594076, 5.35792, 5.94076
12.7, -5.95424, -4.69738, -1.34833, -2.36217, 0.531918, 0.597548, 5.31918, 5.97548
12.8, -6.08669, -4.9309, -1.29534, -2.30224, 0.528248, 0.600795, 5.28248, 6.00795
12.9, -6.21385, -5.15842, -1.24271, -2.24199, 0.52476, 0.603843, 5.2476, 6.03843
13, -6.33577, -5.37989, -1.19042, -2.18145, 0.521438, 0.606715, 5.21438, 6.06715
13.1, -6.45247, -5.5953, -1.13845, -2.12062, 0.518264, 0.609428, 5.18264, 6.09428
13.2, -6.56399, -5.80462, -1.08679, -2.05954, 0.515224, 0.612, 5.15224, 6.12
13.3, -6.67035, -6.00781, -1.03543, -1.9982, 0.512305, 0.614446, 5.12305, 6.14446
13.4, -6.7716, -6.20486, -0.984359, -1.93663, 0.509497, 0.616776, 5.09497, 6.16776
13.5, -6.86774, -6.39575, -0.933559, -1.87483, 0.506789, 0.619003, 5.06789, 6.19003
13.6, -6.95882, -6.58044, -0.883025, -1.81281, 0.504173, 0.621136, 5.04173, 6.21136
13.7, -7.04486, -6.75892, -0.832747, -1.75058, 0.50164, 0.623183, 5.0164, 6.23183
13.8, -7.12588, -6.93118, -0.782719, -1.68816, 0.499184, 0.625152, 4.99184, 6.25152
13.9, -7.20191, -7.09717, -0.732932, -1.62554, 0.496797, 0.627051, 4.96797, 6.27051
14, -7.27297, -7.2569, -0.683381, -1.56273, 0.494473, 0.628885, 4.94473, 6.28885
14.1, -7.33909, -7.41034, -0.634059, -1.49974, 0.492208, 0.630659, 4.92208, 6.30659
14.2, -7.40029, -7.55748, -0.58496, -1.43658, 0.489996, 0.632379, 4.89996, 6.32379
14.3, -7.45658, -7.69829, -0.53608, -1.37325, 0.487833, 0.63405, 4.87833, 6.3405
14.4, -7.508, -7.83276, -0.487413, -1.30976, 0.485714, 0.635675, 4.85714, 6.35675
14.5, -7.55456, -7.96087, -0.438957, -1.2461, 0.483635, 0.637257, 4.83635, 6.37257
14.6, -7.59628, -8.08261, -0.390706, -1.18229, 0.481593, 0.638802, 4.81593, 6.38802
14.7, -7.63318, -8.19796, -0.342657, -1.11833, 0.479585, 0.640311, 4.79585, 6.40311
14.8, -7.6653, -8.30691, -0.294808, -1.05421, 0.477606, 0.641789, 4.77606, 6.41789
14.9, -7.69263, -8.40944, -0.247155, -0.989956, 0.475655, 0.643236, 4.75655, 6.43236
15, -7.71521, -8.50554, -0.199695, -0.925554, 0.473727, 0.644657, 4.73727, 6.44657
15.1, -7.73305, -8.59519, -0.152428, -0.861011, 0.471821, 0.646053, 4.71821, 6.46053
15.2, -7.74617, -8.67838, -0.105349, -0.79633, 0.469934, 0.647427, 4.69934, 6.47427
15.3, -7.7546, -8.7551, -0.0584589, -0.731513, 0.468064, 0.64878, 4.68064, 6.4878
15.4, -7.75834, -8.82533, -0.0117547, -0.666561, 0.466207, 0.650116, 4.66207, 6.50116
15.5, -7.75742, -8.88906, 0.0347645, -0.601477, 0.464363, 0.651435, 4.64363, 6.51435
15.6, -7.75186, -8.94627, 0.0810997, -0.536262, 0.462527, 0.652739, 4.62527, 6.52739
15.7, -7.74167, -8.99696, 0.127252, -0.470917, 0.460699, 0.654031, 4.60699, 6.54031
15.8, -7.72687, -9.0411, 0.173221, -0.405443, 0.458876, 0.655311, 4.58876, 6.55311
15.9, -7.70749, -9.0787, 0.219009, -0.339842, 0.457056, 0.656582, 4.57056, 6.56582
16, -7.68353, -9.10973, 0.264615, -0.274114, 0.455237, 0.657844, 4.55237, 6.57844
16.1, -7.65503, -9.13417, 0.310038, -0.208261, 0.453417, 0.6591, 4.53417, 6.591
16.2, -7.62198, -9.15203, 0.35528, -0.142282, 0.451593, 0.660351, 4.51593, 6.60351
16.3, -7.58443, -9.16329, 0.400338, -0.0761781, 0.449763, 0.661599, 4.49763, 6.61599
16.4, -7.54237, -9.16793, 0.445214, -0.00994972, 0.447927, 0.662844, 4.47927, 6.62844
16.5, -7.49584, -9.16594, 0.489905, 0.0564031, 0.44608, 0.664088, 4.4608, 6.64088
16.6, -7.44484, -9.15731, 0.534411, 0.12288, 0.444221, 0.665333, 4.44221, 6.65333
16.7, -7.38941, -9.14202, 0.57873, 0.189482, 0.442348, 0.66658, 4.42348, 6.6658
16.8, -7.32955, -9.12007, 0.622861, 0.256209, 0.440458, 0.66783, 4.40458, 6.6783
16.9, -7.26528, -9.09144, 0.666802, 0.323061, 0.438549, 0.669085, 4.38549, 6.69085
17, -7.19663, -9.05612, 0.710551, 0.390039, 0.436618, 0.670347, 4.36618, 6.70347
17.1, -7.12361, -9.0141, 0.754105, 0.457143, 0.434662, 0.671616, 4.34662, 6.71616
17.2, -7.04625, -8.96536, 0.797463, 0.524375, 0.43268, 0.672896, 4.3268, 6.72896
17.3, -6.96456, -8.9099, 0.84062, 0.591735, 0.430667, 0.674186, 4.30667, 6.74186
17.4, -6.87856, -8.84769, 0.883574, 0.659226, 0.42862, 0.675489, 4.2862, 6.75489
17.5, -6.78828, -8.77872, 0.926322, 0.726847, 0.426537, 0.676806, 4.26537, 6.76806
17.6, -6.69373, -8.70299, 0.968859, 0.794601, 0.424413, 0.67814, 4.24413, 6.7814
17.7, -6.59494, -8.62047, 1.01118, 0.862489, 0.422245, 0.679492, 4.22245, 6.79492
17.8, -6.49193, -8.53117, 1.05328, 0.930513, 0.420028, 0.680864, 4.20028, 6.80864
17.9, -6.38471, -8.43505, 1.09516, 0.998676, 0.417758, 0.682259, 4.17758, 6.82259
18, -6.27332, -8.33211, 1.13681, 1.06698, 0.415431, 0.683679, 4.15431, 6.83679
18.1, -6.15777, -8.22233, 1.17822, 1.13543, 0.41304, 0.685126, 4.1304, 6.85126
18.2, -6.0381, -8.1057, 1.21939, 1.20402, 0.41058, 0.686603, 4.1058, 6.86603
18.3, -5.91431, -7.98221, 1.26031, 1.27276, 0.408045, 0.688113, 4.08045, 6.88113
18.4, -5.78645, -7.85183, 1.30097, 1.34166, 0.405428, 0.689658, 4.05428, 6.89658
18.5, -5.65453, -7.71456, 1.34137, 1.41071, 0.40272, 0.691243, 4.0272, 6.91243
18.6, -5.51859, -7.57038, 1.38149, 1.47993, 0.399913, 0.69287, 3.99913, 6.9287
18.7, -5.37864, -7.41926, 1.42132, 1.5493, 0.396998, 0.694545, 3.96998, 6.94545
18.8, -5.23473, -7.2612, 1.46085, 1.61885, 0.393964, 0.69627, 3.93964, 6.9627
18.9, -5.08688, -7.09618, 1.50008, 1.68858, 0.390799, 0.698052, 3.90799, 6.98052
19, -4.93512, -6.92418, 1.53898, 1.75848, 0.387489, 0.699895, 3.87489, 6.99895
19.1, -4.77948, -6.74518, 1.57753, 1.82858, 0.384019, 0.701805, 3.84019, 7.01805
19.2, -4.62001, -6.55916, 1.61574, 1.89887, 0.380371, 0.703788, 3.80371, 7.03788
19.3, -4.45673, -6.3661, 1.65356, 1.96936, 0.376525, 0.705853, 3.76525, 7.05853
19.4, -4.28968, -6.16599, 1.691, 2.04006, 0.37246, 0.708007, 3.7246, 7.08007
19.5, -4.11891, -5.95879, 1.72801, 2.11099, 0.368146, 0.710259, 3.68146, 7.10259
19.6, -3.94446, -5.74449, 1.76457, 2.18214, 0.363555, 0.71262, 3.63555, 7.1262
19.7, -3.76638, -5.52307, 1.80066, 2.25354, 0.358649, 0.715102, 3.58649, 7.15102
19.8, -3.58471, -5.29449, 1.83624, 2.32519, 0.353386, 0.717718, 3.53386, 7.17718
19.9, -3.3995, -5.05874, 1.87127, 2.39711, 0.347715, 0.720482, 3.47715, 7.20482
20, -3.21082, -4.81578, 1.90571, 2.46932, 0.341575, 0.723413, 3.41575, 7.23413
20.1, -3.01873, -4.56559, 1.9395, 2.54183, 0.334894, 0.72653, 3.34894, 7.2653
20.2, -2.82328, -4.30813, 1.97259, 2.61467, 0.327581, 0.729857, 3.27581, 7.29857
20.3, -2.62456, -4.04337, 2.00492, 2.68785, 0.319526, 0.733419, 3.19526, 7.33419
20.4, -2.42264, -3.77128, 2.03638, 2.7614, 0.310593, 0.737246, 3.10593, 7.37246
20.5, -2.21762, -3.49182, 2.0669, 2.83535, 0.300609, 0.741373, 3.00609, 7.41373
20.6, -2.0096, -3.20494, 2.09636, 2.90973, 0.289351, 0.745839, 2.89351, 7.45839
20.7, -1.79868, -2.9106, 2.1246, 2.98457, 0.276532, 0.750686, 2.76532, 7.50686
20.8, -1.585, -2.60876, 2.15146, 3.05993, 0.261773, 0.755959, 2.61773, 7.55959
20.9, -1.3687, -2.29936, 2.17671, 3.13583, 0.244561, 0.761702, 2.44561, 7.61702
21, -1.14996, -1.98234, 2.20008, 3.21234, 0.224191, 0.767944, 2.24191, 7.67944
21.1, -0.928985, -1.65763, 2.22119, 3.28951, 0.199667, 0.774683, 1.99667, 7.74683
21.2, -0.706015, -1.32519, 2.23955, 3.36736, 0.169549, 0.781827, 1.69549, 7.81827
21.3, -0.481355, -0.984919, 2.2545, 3.44595, 0.13169, 0.789087, 1.3169, 7.89087
21.4, -0.255388, -0.636762, 2.26509, 3.52523, 0.0827977, 0.795704, 0.827977, 7.95704
21.5, -0.0286059, -0.28065, 2.26995, 3.60506, 0.0177124, 0.799804, 0.177124, 7.99804
21.6, 0.198334, 0.0834544, 2.26705, 3.68496, -0.0716525, 0.796785, -0.716525, 7.96785
21.7, 0.424527, 0.455512, 2.25334, 3.76369, -0.197008, 0.775363, -1.97008, 7.75363
21.8, 0.64871, 0.835288, 2.22456, 3.83814, -0.36948, 0.709567, -3.6948, 7.09567
21.9, 0.869168, 1.22209, 2.17633, 3.90152, -0.575947, 0.555234, -5.75947, 5.55234
22, 1.0839, 1.61434, 2.10882, 3.9435, -0.742789, 0.297092, -7.42789, 2.97092
22.1, 1.2913, 2.00956, 2.03049, 3.95759, -0.799777, 0.018889, -7.99777, 0.18889
22.2, 1.49077, 2.40502, 1.9514, 3.94717, -0.776394, -0.192903, -7.76394, -1.92903
22.3, 1.68249, 2.79861, 1.87638, 3.91971, -0.727769, -0.332194, -7.27769, -3.32194
22.4, 1.86693, 3.18892, 1.80631, 3.88121, -0.679294, -0.422563, -6.79294, -4.22563
22.5, 2.04458, 3.57503, 1.74074, 3.83543, -0.637531, -0.483274, -6.37531, -4.83274
22.6, 2.21584, 3.95632, 1.67895, 3.78464, -0.602834, -0.525919, -6.02834, -5.25919
22.7, 2.38108, 4.33237, 1.62029, 3.73025, -0.574095, -0.557149, -5.74095, -5.57149
22.8, 2.54056, 4.70284, 1.56423, 3.67318, -0.550096, -0.580857, -5.50096, -5.80857
22.9, 2.69454, 5.06751, 1.51037, 3.61404, -0.52982, -0.599409, -5.2982, -5.99409
23, 2.84323, 5.4262, 1.45836, 3.55326, -0.512478, -0.614302, -5.12478, -6.14302
23.1, 2.98678, 5.77874, 1.40795, 3.49114, -0.497471, -0.626516, -4.97471, -6.26516
23.2, 3.12536, 6.12501, 1.35894, 3.42791, -0.484344, -0.636719, -4.84344, -6.36719
23.3, 3.2591, 6.46492, 1.31116, 3.36375, -0.472748, -0.645376, -4.72748, -6.45376
23.4, 3.3881, 6.79838, 1.26446, 3.29879, -0.462411, -0.652822, -4.62411, -6.52822
23.5, 3.51248, 7.12531, 1.21874, 3.23315, -0.453124, -0.659302, -4.53124, -6.59302
23.6, 3.63233, 7.44565, 1.17389, 3.1669, -0.444718, -0.665001, -4.44718, -6.65001
23.7, 3.74773, 7.75934, 1.12985, 3.10011, -0.43706, -0.670058, -4.3706, -6.70058
23.8, 3.85876, 8.06633, 1.08653, 3.03286, -0.430042, -0.674584, -4.30042, -6.74584
23.9, 3.96549, 8.36657, 1.04389, 2.96517, -0.423574, -0.678664, -4.23574, -6.78664
24, 4.06799, 8.66003, 1.00187, 2.8971, -0.417584, -0.682366, -4.17584, -6.82366
24.1, 4.1663, 8.94666, 0.960418, 2.82867, -0.41201, -0.685746, -4.1201, -6.85746
24.2, 4.2605, 9.22644, 0.919506, 2.75992, -0.406802, -0.688848, -4.06802, -6.88848
24.3, 4.35063, 9.49932, 0.879097, 2.69088, -0.401917, -0.69171, -4.01917, -6.9171
24.4, 4.43674, 9.7653, 0.83916, 2.62156, -0.397318, -0.694362, -3.97318, -6.94362
24.5, 4.51887, 10.0243, 0.79967, 2.55199, -0.392973, -0.69683, -3.92973, -6.9683
24.6, 4.59708, 10.2764, 0.7606, 2.48218, -0.388856, -0.699136, -3.88856, -6.99136
24.7, 4.67139, 10.5214, 0.721932, 2.41214, -0.384942, -0.701299, -3.84942, -7.01299
24.8, 4.74186, 10.7595, 0.683644, 2.3419, -0.381212, -0.703333, -3.81212, -7.03333
24.9, 4.80852, 10.9905, 0.64572, 2.27146, -0.377647, -0.705254, -3.77647, -7.05254
25, 4.87139, 11.2145, 0.608145, 2.20083, -0.374232, -0.707072, -3.74232, -7.07072
25.1, 4.93053, 11.4314, 0.570903, 2.13003, -0.370953, -0.708798, -3.70953, -7.08798
